kind,expect_id,expect_word,det_id,det_word,prob,latency_ms
cmd,7,右转,,,,
cmd,7,右转,7,youzhuan,0.18,374
cmd,5,后退,5,houtui,0.33,365
cmd,6,左转,6,zuozhuan,0.57,334
cmd,3,关灯,3,guandeng,0.51,512
cmd,7,右转,,,,
cmd,4,前进,,,,
cmd,8,停下,,,,
cmd,2,开灯,2,kaideng,0.73,470
cmd,6,左转,,,,
cmd,2,开灯,2,kaideng,0.28,417
cmd,5,后退,5,houtui,0.77,292
cmd,5,后退,5,houtui,0.72,259
cmd,6,左转,6,zuozhuan,0.4,356
cmd,3,关灯,3,guandeng,0.69,154
cmd,8,停下,,,,
cmd,6,左转,6,zuozhuan,0.25,415
cmd,2,开灯,2,kaideng,0.7,250
cmd,3,关灯,3,guandeng,0.61,447
cmd,8,停下,,,,
cmd,6,左转,,,,
cmd,2,开灯,2,kaideng,0.23,337
cmd,2,开灯,2,kaideng,0.74,253
cmd,3,关灯,3,guandeng,0.61,201
cmd,5,后退,,,,
cmd,8,停下,,,,
cmd,7,右转,7,youzhuan,0.21,375
cmd,4,前进,4,qianjin,0.18,445
cmd,6,左转,6,zuozhuan,0.38,287
cmd,7,右转,,,,
cmd,3,关灯,3,guandeng,0.71,187
cmd,5,后退,5,houtui,0.3,503
cmd,4,前进,,,,
cmd,2,开灯,2,kaideng,0.64,264
cmd,2,开灯,2,kaideng,0.7,493
cmd,8,停下,,,,
cmd,3,关灯,3,guandeng,0.19,448
cmd,5,后退,5,houtui,0.59,259
cmd,3,关灯,3,guandeng,0.5,237
cmd,7,右转,7,youzhuan,0.17,342
cmd,7,右转,7,youzhuan,0.28,436
cmd,4,前进,,,,
cmd,4,前进,,,,
cmd,5,后退,5,houtui,0.43,244
cmd,8,停下,,,,
cmd,3,关灯,3,guandeng,0.7,436
cmd,8,停下,8,tingxia,0.16,369
cmd,6,左转,6,zuozhuan,0.55,197
cmd,4,前进,,,,
cmd,8,停下,,,,
cmd,4,前进,,,,
cmd,4,前进,,,,
cmd,2,开灯,,,,
cmd,7,右转,7,youzhuan,0.25,490
cmd,5,后退,5,houtui,0.38,473
cmd,6,左转,6,zuozhuan,0.41,313
wake,1,你好小车,1,ni hao xiao che,0.37,122
wake,1,你好小车,1,ni hao xiao che,0.18,461
wake,1,你好小车,,,,
wake,1,你好小车,1,ni hao xiao che,0.97,330
wake,1,你好小车,,,,
