kind,expect_id,expect_word,det_id,det_word,prob,latency_ms
cmd,7,右转,7, you zhuan,0.22,519
cmd,7,右转,7, you zhuan,0.29,424
cmd,5,后退,5, hou tui,0.12,408
cmd,6,左转,6, zuo zhuan,0.18,560
cmd,3,关灯,3, guan deng,0.13,476
cmd,7,右转,7, you zhuan,0.07,394
cmd,4,前进,4, qian jin,0.25,575
cmd,8,停下,8, ting xia,0.11,411
cmd,2,开灯,2, kai deng,0.25,449
cmd,6,左转,6, zuo zhuan,0.27,417
cmd,2,开灯,2, kai deng,0.23,411
cmd,5,后退,5, hou tui,0.08,325
cmd,5,后退,5, hou tui,0.05,517
cmd,6,左转,6, zuo zhuan,0.08,413
cmd,3,关灯,3, guan deng,0.26,567
cmd,8,停下,8, ting xia,0.14,467
cmd,6,左转,6, zuo zhuan,0.05,413
cmd,2,开灯,2, kai deng,0.37,405
cmd,3,关灯,3, guan deng,0.16,385
cmd,8,停下,8, ting xia,0.05,537
cmd,6,左转,6, zuo zhuan,0.07,456
cmd,2,开灯,2, kai deng,0.07,448
cmd,2,开灯,2, kai deng,0.55,454
cmd,3,关灯,3, guan deng,0.17,444
cmd,5,后退,5, hou tui,0.15,357
cmd,8,停下,8, ting xia,0.08,471
cmd,7,右转,7, you zhuan,0.13,439
cmd,4,前进,4, qian jin,0.11,580
cmd,6,左转,6, zuo zhuan,0.16,473
cmd,7,右转,7, you zhuan,0.07,413
cmd,3,关灯,3, guan deng,0.2,580
cmd,5,后退,5, hou tui,0.16,488
cmd,4,前进,4, qian jin,0.26,567
cmd,2,开灯,2, kai deng,0.22,507
cmd,2,开灯,2, kai deng,0.06,518
cmd,8,停下,8, ting xia,0.06,354
cmd,3,关灯,3, guan deng,0.25,422
cmd,5,后退,5, hou tui,0.05,331
cmd,3,关灯,3, guan deng,0.43,528
cmd,7,右转,7, you zhuan,0.19,479
cmd,7,右转,7, you zhuan,0.23,353
cmd,4,前进,4, qian jin,0.22,518
cmd,4,前进,4, qian jin,0.05,428
cmd,5,后退,5, hou tui,0.08,334
cmd,8,停下,8, ting xia,0.06,454
cmd,3,关灯,3, guan deng,0.21,449
cmd,8,停下,8, ting xia,0.14,343
cmd,6,左转,6, zuo zhuan,0.09,345
cmd,4,前进,4, qian jin,0.3,500
cmd,8,停下,8, ting xia,0.06,381
cmd,4,前进,4, qian jin,0.26,575
cmd,4,前进,4, qian jin,0.06,491
cmd,2,开灯,2, kai deng,0.29,433
cmd,7,右转,7, you zhuan,0.07,369
cmd,5,后退,5, hou tui,0.3,332
cmd,6,左转,6, zuo zhuan,0.19,520
wake,1,你好小车,1,ni hao xiao che,0.11,311
wake,1,你好小车,,,,
wake,1,你好小车,,,,
wake,1,你好小车,1,ni hao xiao che,0.1,271
wake,1,你好小车,,,,
