kind,expect_id,expect_word,det_id,det_word,prob,latency_ms
cmd,6,左转,6, zuo zhuan,0.38,562
cmd,3,关灯,3, guan deng,0.17,541
cmd,2,开灯,2, kai deng,0.58,599
cmd,8,停下,8, ting xia,0.27,542
cmd,7,右转,7, you zhuan,0.19,367
cmd,8,停下,8, ting xia,0.06,424
cmd,3,关灯,3, guan deng,0.1,528
cmd,6,左转,6, zuo zhuan,0.26,528
cmd,2,开灯,2, kai deng,0.26,571
cmd,3,关灯,3, guan deng,0.17,571
cmd,2,开灯,2, kai deng,0.17,435
cmd,6,左转,6, zuo zhuan,0.34,503
cmd,4,前进,4, qian jin,0.08,496
cmd,7,右转,7, you zhuan,0.33,526
cmd,5,后退,5, hou tui,0.24,537
cmd,5,后退,5, hou tui,0.17,525
cmd,4,前进,4, qian jin,0.06,531
cmd,4,前进,4, qian jin,0.05,540
cmd,8,停下,8, ting xia,0.05,511
cmd,5,后退,5, hou tui,0.06,487
cmd,7,右转,7, you zhuan,0.05,515
wake,1,你好小车,1,ni hao xiao che,0.13,396
wake,1,你好小车,1,ni hao xiao che,0.07,366
wake,1,你好小车,1,ni hao xiao che,0.09,322
wake,1,你好小车,1,ni hao xiao che,0.13,443
wake,1,你好小车,1,ni hao xiao che,0.14,462
wake,1,你好小车,1,ni hao xiao che,0.13,318
wake,1,你好小车,1,ni hao xiao che,0.1,285
wake,1,你好小车,1,ni hao xiao che,0.13,360
wake,1,你好小车,1,ni hao xiao che,0.09,357
wake,1,你好小车,1,ni hao xiao che,0.14,333
wake,1,你好小车,1,ni hao xiao che,0.12,468
wake,1,你好小车,1,ni hao xiao che,0.14,329
wake,1,你好小车,1,ni hao xiao che,0.12,374
wake,1,你好小车,1,ni hao xiao che,0.1,374
wake,1,你好小车,1,ni hao xiao che,0.08,355
wake,1,你好小车,1,ni hao xiao che,0.07,352
wake,1,你好小车,1,ni hao xiao che,0.08,345
wake,1,你好小车,1,ni hao xiao che,0.07,355
wake,1,你好小车,1,ni hao xiao che,0.09,412
wake,1,你好小车,1,ni hao xiao che,0.12,371
wake,1,你好小车,1,ni hao xiao che,0.12,358
