block,expect_id,expect_word,top1_id,top1_word,top1_prob,top2_id,top2_prob,margin,cands
1,7,右转,7,右转,0.205,,,,7:0.205
1,7,右转,7,右转,0.396,,,,7:0.396
1,5,后退,5,后退,0.077,,,,5:0.077
1,6,左转,6,左转,0.090,,,,6:0.090
1,3,关灯,3,关灯,0.164,,,,3:0.164
1,7,右转,,,,,,,
1,4,前进,,,,,,,
2,8,停下,8,停下,0.186,,,,8:0.186
2,2,开灯,2,开灯,0.303,,,,2:0.303
2,6,左转,6,左转,0.144,,,,6:0.144
2,2,开灯,2,开灯,0.271,,,,2:0.271
2,5,后退,5,后退,0.081,,,,5:0.081
2,5,后退,5,后退,0.236,,,,5:0.236
2,6,左转,6,左转,0.087,,,,6:0.087
3,3,关灯,3,关灯,0.250,,,,3:0.250
3,8,停下,8,停下,0.147,,,,8:0.147
3,6,左转,6,左转,0.123,,,,6:0.123
3,2,开灯,2,开灯,0.262,,,,2:0.262
3,3,关灯,3,关灯,0.062,,,,3:0.062
3,8,停下,8,停下,0.053,,,,8:0.053
3,6,左转,6,左转,0.199,,,,6:0.199
4,2,开灯,2,开灯,0.205,,,,2:0.205
4,2,开灯,2,开灯,0.385,,,,2:0.385
4,3,关灯,3,关灯,0.064,,,,3:0.064
4,5,后退,5,后退,0.315,,,,5:0.315
4,8,停下,8,停下,0.113,,,,8:0.113
4,7,右转,7,右转,0.067,,,,7:0.067
4,4,前进,4,前进,0.186,,,,4:0.186
5,6,左转,6,左转,0.156,,,,6:0.156
5,7,右转,7,右转,0.202,,,,7:0.202
5,3,关灯,3,关灯,0.118,,,,3:0.118
5,5,后退,5,后退,0.408,,,,5:0.408
5,4,前进,4,前进,0.055,,,,4:0.055
5,2,开灯,2,开灯,0.069,,,,2:0.069
5,2,开灯,2,开灯,0.597,,,,2:0.597
6,8,停下,8,停下,0.102,,,,8:0.102
6,3,关灯,3,关灯,0.056,,,,3:0.056
6,5,后退,5,后退,0.367,,,,5:0.367
6,3,关灯,3,关灯,0.269,,,,3:0.269
6,7,右转,7,右转,0.105,,,,7:0.105
6,7,右转,7,右转,0.255,,,,7:0.255
6,4,前进,4,前进,0.110,,,,4:0.110
7,4,前进,4,前进,0.115,,,,4:0.115
7,5,后退,5,后退,0.107,,,,5:0.107
7,8,停下,8,停下,0.158,,,,8:0.158
7,3,关灯,3,关灯,0.195,,,,3:0.195
7,8,停下,8,停下,0.051,,,,8:0.051
7,6,左转,6,左转,0.155,,,,6:0.155
7,4,前进,4,前进,0.283,,,,4:0.283
8,8,停下,8,停下,0.238,,,,8:0.238
8,4,前进,4,前进,0.113,,,,4:0.113
8,4,前进,4,前进,0.137,,,,4:0.137
8,2,开灯,2,开灯,0.071,,,,2:0.071
8,7,右转,7,右转,0.199,,,,7:0.199
8,5,后退,5,后退,0.092,,,,5:0.092
8,6,左转,6,左转,0.147,,,,6:0.147
